306
-0.004234319,-7.123766E-4
-0.00357305,-7.123547E-4
-0.003440596,-7.123328E-4
-0.003809383,-7.123113E-4
-0.004884437,-7.122884E-4
-0.007164003,-7.122669E-4
-0.01164337,-7.122444E-4
-0.02030679,-6.991543E-4
-0.03702159,4.690108E-4
-0.06565914,0.003031945
-0.1053797,0.006320575
-0.119483,0.001895046
-0.1160562,-7.553008E-4
-0.1147446,-7.552872E-4
-0.1140755,-7.55273E-4
-0.113732,-7.552596E-4
-0.1135535,-7.552454E-4
-0.1134588,-7.55231E-4
-0.1134065,-7.552161E-4
-0.1133757,-7.552017E-4
-0.1133557,-7.55188E-4
-0.1133411,-7.551729E-4
-0.1133293,-7.551579E-4
-0.1133188,-7.55144E-4
-0.1133089,-7.551284E-4
-0.1132993,-7.551138E-4
-0.1132897,-7.550992E-4
-0.1132801,-7.550159E-4
-0.1132704,-7.549807E-4
-0.1132604,-7.550063E-4
-0.1132504,-7.549342E-4
-0.1132401,-7.550197E-4
-0.1132298,-7.549446E-4
-0.1132194,-7.548064E-4
-0.1132087,-7.547345E-4
-0.113198,-7.545712E-4
-0.113187,-7.545305E-4
-0.1131759,-7.544237E-4
-0.1131645,-7.544082E-4
-0.1131531,-7.54308E-4
-0.1131413,-7.543459E-4
-0.1131295,-7.542699E-4
-0.1131175,-7.540896E-4
-0.1131052,-7.540004E-4
-0.1130928,-7.538407E-4
-0.1130801,-7.538416E-4
-0.1130672,-7.537543E-4
-0.1130542,-7.535192E-4
-0.1130409,-7.535077E-4
-0.1130274,-7.53369E-4
-0.1130138,-7.531403E-4
-0.1129997,-7.531229E-4
-0.1129855,-7.529782E-4
-0.1129712,-7.527269E-4
-0.1129564,-7.527852E-4
-0.1129414,-7.527071E-4
-0.1129263,-7.52556E-4
-0.1129109,-7.523483E-4
-0.112895,-7.52319E-4
-0.1128789,-7.522219E-4
-0.1128627,-7.520737E-4
-0.1128462,-7.51913E-4
-0.1128295,-7.516026E-4
-0.1128125,-7.511592E-4
-0.1127949,-7.511386E-4
-0.1127769,-7.510386E-4
-0.1127587,-7.508713E-4
-0.1127402,-7.506751E-4
-0.1127214,-7.504017E-4
-0.1127024,-7.500231E-4
-0.112683,-7.496291E-4
-0.1126626,-7.498764E-4
-0.1126417,-7.501796E-4
-0.1126212,-7.496228E-4
-0.1125994,-7.499505E-4
-0.112577,-7.505357E-4
-0.1125551,-7.50088E-4
-0.1125327,-7.497239E-4
-0.1125082,-7.510927E-4
-0.1124861,-7.494061E-4
-0.1124614,-7.498298E-4
-0.1124355,-7.510425E-4
-0.1124113,-7.498893E-4
-0.112378,-7.546535E-4
-0.1123543,-7.517516E-4
-0.01444087,-7.546128E-4
0.07400816,-7.545933E-4
0.07400824,-7.545726E-4
0.07400831,-7.545513E-4
0.07400838,-7.545312E-4
0.07400846,-7.545104E-4
0.07400853,-7.544889E-4
0.07400861,-7.544672E-4
0.07400869,-7.544456E-4
0.07400877,-7.544246E-4
0.07400885,-7.544032E-4
0.07400893,-7.543809E-4
0.07400902,-7.543586E-4
0.07400911,-7.543368E-4
0.07400919,-7.543139E-4
0.07400928,-7.542913E-4
0.07400938,-7.542682E-4
0.07400947,-7.542456E-4
0.07400953,-7.54222E-4
0.0740096,-7.541991E-4
0.07400966,-7.541748E-4
0.07400973,-7.541509E-4
0.0740098,-7.541276E-4
0.07400987,-7.541028E-4
0.07400994,-7.540786E-4
0.07401001,-7.540544E-4
0.07400986,-7.540297E-4
0.07400994,-7.540041E-4
0.07401001,-7.539794E-4
0.07400987,-7.539543E-4
0.07400994,-7.539285E-4
0.07401002,-7.539021E-4
0.07400986,-7.538766E-4
0.07400994,-7.5385E-4
0.07401002,-7.538234E-4
0.07400986,-7.537965E-4
0.07400995,-7.537694E-4
0.07401003,-7.537426E-4
0.07400986,-7.537154E-4
0.07400995,-7.536873E-4
0.07401003,-7.536598E-4
0.07400986,-7.536314E-4
0.07400995,-7.536029E-4
0.07401004,-7.535746E-4
0.07400986,-7.535454E-4
0.07400995,-7.535156E-4
0.07401005,-7.53487E-4
0.07400986,-7.534571E-4
0.07400996,-7.534269E-4
0.07401006,-7.533969E-4
0.07400986,-7.533658E-4
0.07400996,-7.53335E-4
0.07401006,-7.533036E-4
0.07400986,-7.532729E-4
0.07400997,-7.532405E-4
0.07401007,-7.53209E-4
0.07400986,-7.53176E-4
0.07400997,-7.531433E-4
0.07401008,-7.531113E-4
0.07400986,-7.530772E-4
0.07400998,-7.530443E-4
0.0740101,-7.530103E-4
0.07400986,-7.529758E-4
0.07400998,-7.52941E-4
0.07401011,-7.529059E-4
0.07400986,-7.528706E-4
0.07400999,-7.528354E-4
0.07401012,-7.52799E-4
0.07400986,-7.527626E-4
0.07401,-7.527264E-4
0.07400972,-7.526885E-4
0.07400986,-7.526516E-4
0.07401,-7.526137E-4
0.07400971,-7.525748E-4
0.07400986,-7.525362E-4
0.07401001,-7.524971E-4
0.0740097,-7.524578E-4
0.07400986,-7.52418E-4
0.07401002,-7.523779E-4
0.07400969,-7.52337E-4
0.07400986,-7.52296E-4
0.07401004,-7.52254E-4
0.07400967,-7.52212E-4
0.07400986,-7.521697E-4
0.07401005,-7.521258E-4
0.07400965,-7.520826E-4
0.07400986,-7.520391E-4
0.07401007,-7.519939E-4
0.07400963,-7.519493E-4
0.07400985,-7.519035E-4
0.07401009,-7.51858E-4
0.0740096,-7.518115E-4
0.07400985,-7.517645E-4
0.07401012,-7.517163E-4
0.07400957,-7.516683E-4
0.07400985,-7.516199E-4
0.07401015,-7.515707E-4
